Year,Average Annual Unemployment Rate,Labor Force Percentage Change,Total Employment Percentage Change,GDP Percentage Change,Average Annual Nominal Interest Rate,Average Annual Real Interest Rate,Covered workers,OASI Beneficiaries,OASDI Beneficiaries,Covered workers per OASDI beneficiary,OASDI beneficiaries per 100 covered workers,Total Fertility Rate,"Age-sex-adjusted death rate per 100,000","Age-sex-adjusted death rate per 100,000 (Under 65)","Age-sex-adjusted death rate per 100,000 (65 and over)",LPR Immigration,LPR Emigration,Net LPR Change,Net Temporary or Unlawful Immigration Change,Income rate (OASDI),Cost rate (OASDI),Balance (OASDI),Income rate (HI),Cost rate (HI),Balance (HI),Worker (Retired workers & auxiliaries),Spouse (Retired workers & auxiliaries),Child (Retired workers & auxiliaries),Widow-widower (Survivors),Mother-father (Survivors),Child (Survivors),Parent (Survivors),Total,Non-interest income (K),Interest income (K),Total income (K),Cost (K),Reserves at end of year (K),Life Expectancy at Birth,Life Expectancy at Age 65,Ratio of OASDI Taxable Payroll to GDP,OASI Fund Ratio,DI Fund Ratio,OASDI Fund Ratio,Covid_dummy,LE65_x_Covid
1985.0,7.2,1.7,2.0,4.2,10.8,9.0,120438.0,32763.0,36636.0,3.3,30.0,1.83,1088.6,352.8,5994.7,577.0,144.0,432.0,261.0,11.66,11.07,0.59,2.74,2.68,0.06,22435.0,3069.0,456.0,4862.0,372.0,1918.0,10.0,33122.0,591800000.0,8100000.0,599900000.0,561800000.0,124300000.0,74.65,16.5,0.397,0.24,0.27,0.24,0,0.0
1986.0,7.0,2.1,2.2,3.5,8.0,9.3,122932.0,33346.0,37318.0,3.3,30.0,1.83,1077.1,350.1,5924.3,600.0,150.0,450.0,275.0,11.56,10.94,0.62,2.93,2.6,0.33,22985.0,3086.0,450.0,4927.0,350.0,1878.0,9.0,33685.0,617800000.0,11200000.0,629000000.0,584600000.0,135900000.0,74.69999999999999,16.6,0.402,0.28,0.38,0.29,0,0.0
1987.0,6.2,1.7,2.5,3.5,8.4,4.4,125969.0,33914.0,37948.0,3.3,30.0,1.86,1066.2,346.8,5862.5,610.0,153.0,458.0,273.0,11.54,10.69,0.85,2.92,2.56,0.37,23444.0,3090.0,439.0,4983.0,329.0,1837.0,8.0,34129.0,632200000.0,14900000.0,647000000.0,585600000.0,192700000.0,74.85,16.7,0.403,0.3,0.44,0.31,0,0.0
1988.0,5.5,1.5,2.2,4.2,8.8,4.4,129763.0,34336.0,38413.0,3.4,30.0,1.92,1077.0,346.3,5948.6,634.0,158.0,475.0,258.0,12.22,10.65,1.57,2.92,2.45,0.47,23862.0,3088.0,432.0,5013.0,318.0,1809.0,7.0,34529.0,687500000.0,22000000.0,709500000.0,599200000.0,295600000.0,74.8,16.65,0.399,0.41,0.38,0.41,0,0.0
1989.0,5.3,1.8,2.0,3.7,8.7,4.0,132010.0,34741.0,38846.0,3.4,29.0,2.0,1046.0,340.0,5753.1,1404.0,155.0,1249.0,-481.0,12.38,10.57,1.81,2.92,2.64,0.29,24331.0,3095.0,422.0,5057.0,312.0,1782.0,6.0,35004.0,711200000.0,32600000.0,743800000.0,607100000.0,418800000.0,75.1,16.9,0.396,0.59,0.38,0.57,0,0.0
1990.0,5.6,1.6,1.2,1.9,8.6,3.4,133005.0,35255.0,39459.0,3.4,30.0,2.07,1026.2,333.3,5646.0,1659.0,166.0,1493.0,-371.0,12.65,10.74,1.91,2.92,2.72,0.21,24841.0,3104.0,421.0,5098.0,304.0,1777.0,6.0,35551.0,728300000.0,42100000.0,770400000.0,618200000.0,550200000.0,75.35,17.0,0.395,0.78,0.4,0.75,0,0.0
1991.0,6.9,0.4,-0.9,-0.1,8.0,4.5,132418.0,35773.0,40161.0,3.3,30.0,2.06,1011.6,329.1,5562.0,1486.0,181.0,1305.0,-137.0,12.72,11.33,1.39,2.94,2.68,0.25,25293.0,3106.0,425.0,5142.0,301.0,1792.0,5.0,36064.0,722000000.0,51400000.0,773400000.0,643200000.0,658600000.0,75.5,17.15,0.393,0.87,0.39,0.82,0,0.0
1992.0,7.5,1.4,0.5,3.5,7.1,5.1,133344.0,36299.0,41014.0,3.3,31.0,2.04,997.0,322.4,5494.7,944.0,207.0,737.0,462.0,12.54,11.54,1.0,2.94,2.95,-0.01,25762.0,3115.0,431.0,5187.0,294.0,1808.0,5.0,36603.0,723200000.0,57800000.0,781000000.0,665400000.0,755600000.0,75.75,17.25,0.388,1.03,0.4,0.96,0,0.0
1993.0,6.9,0.8,1.3,2.8,6.1,4.3,135539.0,36743.0,41826.0,3.2,31.0,2.02,1020.9,325.8,5655.1,882.0,216.0,666.0,553.0,12.44,11.72,0.72,2.94,3.18,-0.25,26109.0,3098.0,436.0,5207.0,289.0,1837.0,5.0,36981.0,726600000.0,61800000.0,788400000.0,684600000.0,838700000.0,75.5,17.1,0.384,1.17,0.35,1.07,0,0.0
1994.0,6.1,1.4,2.2,4.0,7.1,3.6,138533.0,37070.0,42504.0,3.3,31.0,2.0,1007.5,322.1,5577.8,784.0,195.0,589.0,601.0,12.59,11.62,0.97,3.06,3.24,-0.17,26412.0,3069.0,440.0,5218.0,283.0,1865.0,4.0,37292.0,757400000.0,67300000.0,824700000.0,698900000.0,944300000.0,75.65,17.200000000000003,0.381,1.3,0.23,1.17,0,0.0
